ID,assists,bonus,bps,CS,creativity,Gc,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,yellow_cards,starts,xG,expected_assists,expected_goal_involvements,xGc,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,added,chance_of_playing_next_round,chance_of_playing_this_round,code,event_points,form,news,news_added,news_return,news_updated,squad_number,total_points,web_name,position,team,name
48,1,0,101,2,137.9,5,0,30.6,99.4,491,0,0,0,0,0,68.0,0,6,0.30,0.84,1.14,8.45,11,22,13,46,2025-07-20T23:14:20.974390Z,100.0,100.0,166989,3,2.2,,2025-09-14T22:00:07.795199Z,,,,17,Tielemans,MID,Aston Villa,Youri Tielemans
49,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.976991Z,0.0,0.0,215711,0,0.0,Has joined AS Roma on loan for the rest of the season.,2025-08-20T13:31:56.843157Z,,,,0,Bailey,MID,Aston Villa,Leon Bailey
50,2,7,135,2,127.9,4,3,43.0,183.6,533,0,0,0,0,0,118.0,2,6,1.08,0.71,1.79,7.32,12,27,17,56,2025-07-20T23:14:20.979545Z,100.0,100.0,195546,1,3.2,,2025-10-31T00:00:08.522687Z,,,,41,Buendía,MID,Aston Villa,Emiliano Buendía Stati
51,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.982177Z,0.0,0.0,469247,0,0.0,has joined West Bromwich Albion on loan for the rest of the season,2025-09-22T21:15:59.838578Z,,,,0,Iling Jr,MID,Aston Villa,Samuel Iling-Junior
52,0,0,35,0,96.4,6,0,16.7,40.2,209,0,0,0,0,0,30.0,1,1,0.25,0.26,0.51,5.28,3,14,5,22,2025-07-20T23:14:20.984840Z,100.0,100.0,232653,1,0.8,,2025-08-31T01:30:07.565346Z,,,,6,J.Ramsey,MID,Newcastle United,Jacob Ramsey
53,1,3,112,1,73.5,6,3,38.1,135.8,451,0,0,0,0,0,180.0,0,4,2.58,0.34,2.92,5.57,1,8,4,13,2025-07-20T23:14:20.987436Z,,,204646,3,3.5,,,,,,39,Malen,MID,Aston Villa,Donyell Malen
54,1,1,179,6,274.6,9,1,53.3,172.8,994,0,0,0,0,0,83.0,2,13,1.01,1.36,2.37,13.99,20,49,18,87,2025-07-20T23:14:20.994144Z,,,122806,9,3.5,,,,,,40,McGinn,MID,Aston Villa,John McGinn
55,1,0,56,0,33.7,0,1,14.0,51.8,114,0,0,0,0,0,55.0,0,0,0.43,0.16,0.59,1.41,2,10,3,15,2025-07-20T23:14:20.996859Z,75.0,100.0,88894,1,3.0,Knock - 75% chance of playing,2025-11-30T22:30:09.043798Z,,,,15,Barkley,MID,Aston Villa,Ross Barkley
56,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:20.999615Z,0.0,0.0,491287,0,0.0,Season-long loan to Benfica,2025-07-22T13:50:13.193555Z,,,,0,Barrenechea,MID,Aston Villa,Enzo Barrenechea
57,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,2025-07-20T23:14:21.002243Z,0.0,0.0,461421,0,0.0,Has joined Preston North End on loan for the rest of the season.,2025-08-26T13:44:19.058961Z,,,,0,Dobbin,MID,Aston Villa,Lewis Dobbin
